,assembler,type_input_data,type_ref_data,Contigs/scaffolds,Time_min,ContigLength/ScaffoldsLenght,Assembly_length,max_memory_vsz_mb,max_memory_rss_mb,path_ref,script,name_script,path_config_file,Comment,min_fot_score,lenght_ref,ref_vs_qry,qry_vs_ref,X19,Score,Secondary_title,Species,Gene_Count
64,GetOrganelle,genome,full_mt_genom_Ecy,3,193,13701,0,38407.6600000000035,37064.6399999999994,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0.953444676409186,14370,0.946485734168406,0.992701262681556,NA,0.80649125164812,Pool animals,E. cyaneus,14
65,GetOrganelle,genome,full_mt_genom_Eve,3,189,12257,0,38519.1600000000035,37086.5,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0.852957550452331,14370,0.834725121781489,0.978624459492535,NA,0.74991011626492,Pool animals,E. cyaneus,13
66,GetOrganelle,genome,full_mt_genom_EveS_Ecy,6,257.183299999999974,8040,NA,29327.5600000000013,28097.880000000001,NA,NA,NA,NA,S by W,0.515351580026922,15601,0.478815460547401,0.92910447761194,NA,0.522484546213233,NA,NA,6
67,GetOrganelle,genome,full_mt_genom_EveS_EveS,3,73.0999999999999801,14268,NA,13076.8700000000008,11930.1399999999994,NA,NA,NA,NA,S by W,0.914556759182104,15601,0.904172809435293,0.988645920941968,NA,0.785177205723173,NA,NA,15
68,GetOrganelle,genome,part_COI_Bpul,1,70.8333300000000037,15634,NA,10363.4500000000007,9207,NA,NA,NA,NA,NA,0.963752928122304,16284,0.868635186783381,0.901304848407317,NA,0.93342324082825,NA,B. pullus,NA
69,GetOrganelle,genome,part_COI_Ecy,1,70,2838,0,15109.9599999999991,13916.2299999999996,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0.197494780793319,14370,0.186778009742519,0.945736434108527,NA,0.582502306161093,Pool animals,E. cyaneus,3
70,GetOrganelle,genome,part_COI_EveS,1,101.216700000000003,7512,NA,13066.7999999999993,11907.8199999999997,NA,NA,NA,NA,S by W,0.481507595666944,15601,0.481507595666944,1,NA,0.74075379783347,NA,NA,7
71,GetOrganelle,genome_10p,full_COI_Ecy,1,10.8333300000000001,2666,0,8741.29999999999927,4474.02000000000044,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0.185525400139179,14370,0.179123173277662,0.965491372843211,NA,0.582534986565013,Pool animals,E. cyaneus,3
72,GetOrganelle,genome_10p,full_mt_genom_Ecy,5,16.6666699999999999,12249,0,9452.94000000000051,4473.81999999999971,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0.85240083507307,14370,0.842032011134308,0.987835741693199,NA,0.720567146975145,Pool animals,E. cyaneus,13
73,GetOrganelle,genome_10p,full_mt_genom_Eve,4,16.8000000000000007,9269,0,5503.47999999999956,4473.10000000000036,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0.632258618625099,14370,0.620389700765484,0.981227748408674,NA,0.620969016949815,Pool animals,E. cyaneus,10
74,GetOrganelle,genome_10p,part_COI_Ecy,1,10.6999999999999993,2666,0,5500.71000000000004,4473.47000000000025,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0.185525400139179,14370,0.179123173277662,0.965491372843211,NA,0.582534986565013,Pool animals,E. cyaneus,3
75,GetOrganelle,genome_16p,full_COI_Ecy,1,21.5500000000000007,4097,0,7700.93000000000029,4688.17000000000007,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0.285107863604733,14370,0.281558803061935,0.987551867219917,NA,0.638554633471645,Pool animals,E. cyaneus,4
76,GetOrganelle,genome_16p,full_mt_genom_Ecy,5,17.5166700000000013,13064,0,5722.77000000000044,4686.72999999999956,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0.909116214335421,14370,0.90598469032707,0.996555419473362,NA,0.752914081033963,Pool animals,E. cyaneus,12
77,GetOrganelle,genome_16p,full_mt_genom_Eve,4,101.383300000000006,12376,0,29299.8300000000017,28117.9500000000007,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0.861238691718859,14370,0.850034794711204,0.986990950226244,NA,0.737066109164078,Pool animals,E. cyaneus,12
78,GetOrganelle,genome_16p,part_COI_Ecy,1,43.75,4113,0,9012.94000000000051,4686.21000000000004,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0.286221294363257,14370,0.285942936673626,0.99902747386336,NA,0.642797926225063,Pool animals,E. cyaneus,4
79,GetOrganelle,genome_1p,full_COI_Ecy,0,0.966666700000000034,0,0,1771.50999999999999,542.730000000000018,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0,14370,0,0,NA,0,Pool animals,E. cyaneus,NA
80,GetOrganelle,genome_1p,full_mt_genom_Ecy,0,1.01666700000000021,0,0,1774.57999999999993,533.879999999999995,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0,14370,0,0,NA,0,Pool animals,E. cyaneus,NA
